,gene_group,associated_uniprot_IDs,associated_reactions,associated_pdb,associated_cath_classes,associated_cath_domains,substrates,products
84,b3359,P18335,ACOTA;SDPTA,,,,glu__L_c;acorn_c;akg_c;acg5sa_c;sl26da_c;sl2a6o_c,glu__L_c;acorn_c;akg_c;acg5sa_c;sl26da_c;sl2a6o_c
85,b2371,P76518,ACOXT,4hl6,3.30.1540.10.4.2.1.1.1.92;3.30.1540.10.4.2.1.1.2.92;3.30.1540.10.4.2.1.1.3.92;3.30.1540.10.4.2.1.1.4.92;3.30.1540.10.4.2.1.1.5.92;3.30.1540.10.4.2.1.1.6.92;3.40.50.10540.4.2.1.1.1.284;3.40.50.10540.4.2.1.1.2.283;3.40.50.10540.4.2.1.1.3.283;3.40.50.10540.4.2.1.1.4.283;3.40.50.10540.4.2.1.1.5.282;3.40.50.10540.4.2.1.1.6.282,4hl6A02;4hl6B02;4hl6C02;4hl6D02;4hl6E02;4hl6F02;4hl6B01;4hl6A01;4hl6C01;4hl6F01;4hl6D01;4hl6E01,ac_c;oxalcoa_c;accoa_c;oxa_c,ac_c;oxalcoa_c;accoa_c;oxa_c
86,b3812,P0ADP0,ACP1_FMN;PMDPHT,,,,fmn_c;5aprbu_c;h2o_c,ribflv_c;4r5au_c;pi_c
87,b0844,P75809,ACP1_FMN;PMDPHT,,,,fmn_c;5aprbu_c;h2o_c,ribflv_c;4r5au_c;pi_c
88,b1090;b1094,P27247;P0A6A8,ACPPAT120;ACPPAT140;ACPPAT141;ACPPAT160;ACPPAT161;ACPPAT180;ACPPAT181,,,,hdeACP_c;tdeACP_c;octeACP_c;pi_c;ddcaACP_c;palmACP_c;h_c;ocdcaACP_c;myrsACP_c,ddcap_c;ttdceap_c;ACP_c;ocdceap_c;ttdcap_c;hdceap_c;hdcap_c;ocdcap_c
89,b2563,P24224,ACPS1,,,,coa_c;apoACP_c,pap_c;h_c;ACP_c
90,b3475,P37623,ACPS1,,,,coa_c;apoACP_c,pap_c;h_c;ACP_c
91,b1623,P22333,ADA;DADA,,,,adn_c;h2o_c;dad_2_c;h_c,ins_c;nh4_c;din_c
92,b1096,P28305,ADCL;CHRPL,1i2k,3.20.10.10.11.1.1.1.1.145;3.30.470.10.10.2.1.1.1.108,1i2kA02;1i2kA01,4adcho_c;chor_c,4abz_c;4hbz_c;h_c;pyr_c
93,b4039,P26602,ADCL;CHRPL,1tt8,3.40.1410.10.1.1.1.1.1.164,1tt8A00,4adcho_c;chor_c,4abz_c;4hbz_c;h_c;pyr_c
94,b1812;b3360,P05041;P00903,ADCS,,,,gln__L_c;chor_c,4adcho_c;glu__L_c
95,b3665,P31441,ADD,,,,h2o_c;h_c;ade_c,hxan_c;nh4_c
96,b0474,P69441,ADK1;ADK3;ADK4;ADNK1;DADK;NDPK1;NDPK2;NDPK3;NDPK4;NDPK5;NDPK6;NDPK7;NDPK8,4x8l,3.40.50.300.25.2.1.2.1.214;3.40.50.300.25.2.1.2.2.214,4x8lA00;4x8lB00,atp_c;idp_c;dudp_c;dttp_c;dgtp_c;dcdp_c;dtdp_c;adn_c;udp_c;ctp_c;dutp_c;dctp_c;cdp_c;itp_c;amp_c;gdp_c;dadp_c;dgdp_c;gtp_c;damp_c;utp_c;adp_c;datp_c,atp_c;idp_c;dudp_c;dttp_c;dgtp_c;dcdp_c;dtdp_c;udp_c;ctp_c;dutp_c;dctp_c;cdp_c;itp_c;amp_c;h_c;gdp_c;dadp_c;dgdp_c;gtp_c;damp_c;utp_c;adp_c;datp_c
97,b0120,P0A7F6,ADMDC,,,,h_c;amet_c,co2_c;ametam_c
98,b3806,P00936,ADNCYC,,,,atp_c,ppi_c;camp_c
99,b0030,P22564,ADNUC;CYTDH;INSH;URIH;XTSNH,,,,ins_c;xtsn_c;adn_c;h2o_c;cytd_c;uri_c,ade_c;ura_c;rib__D_c;hxan_c;xan_c;csn_c
100,b1992,P36561,ADOCBLS,,,,rdmbzi_c;agdpcbi_c,gmp_c;h_c;adocbl_c
101,b3397,P45799,ADPRDP,1vhz,3.90.79.10.57.1.1.1.1.178;3.90.79.10.57.1.1.1.2.179,1vhzA01;1vhzB01,h2o_c;adprib_c,amp_c;h_c;r5p_c
102,b3034,Q93K97,ADPRDP,1g0s,3.90.79.10.60.1.1.1.1.201;3.90.79.10.60.1.1.1.2.202,1g0sA00;1g0sB00,h2o_c;adprib_c,amp_c;h_c;r5p_c
103,b0469,P69503,ADPT,2dy0,3.40.50.2020.1.1.1.1.1.181;3.40.50.2020.1.1.1.1.2.182,2dy0B00;2dy0A00,prpp_c;ade_c,amp_c;ppi_c
104,b2750,P0A6J1,ADSK,,,,atp_c;aps_c,paps_c;h_c;adp_c
105,b1131,P0AB89,ADSL1r;ADSL2r,2ptr,1.10.40.30.1.1.1.1.1.64;1.10.40.30.1.1.1.1.3.59;1.10.275.10.4.1.1.2.1.117;1.10.275.10.4.1.1.2.2.117;1.20.200.10.4.1.1.1.1.278;1.20.200.10.4.1.1.1.2.275,2ptrB03;2ptrA03;2ptrA01;2ptrB01;2ptrA02;2ptrB02,25aics_c;aicar_c;amp_c;dcamp_c;fum_c,25aics_c;aicar_c;amp_c;dcamp_c;fum_c
106,b4177,P0A7D4,ADSS,1kjx,1.10.300.10.2.1.2.1.23.100;3.40.440.10.1.2.3.1.23.165;3.90.170.10.1.2.2.1.23.166,1kjxA02;1kjxA01;1kjxA03,imp_c;asp__L_c;gtp_c,dcamp_c;pi_c;h_c;gdp_c
107,b0677,P0AF18,AGDC,1yrr,2.30.40.10.31.1.1.1.1.92;2.30.40.10.31.1.1.1.2.90;3.20.20.140.61.1.1.1.1.289;3.20.20.140.61.1.1.3.1.244,1yrrA01;1yrrB01;1yrrA02;1yrrB02,h2o_c;acgam6p_c,ac_c;gam6p_c
108,b0110,P13016,AGM3PA;AGM4PA;AM3PA;AM4PA,,,,anhm4p_c;anhgm4p_c;h2o_c;anhm3p_c;anhgm3p_c,anhm_c;LalaDgluMdap_c;LalaDgluMdapDala_c;anhgm_c
109,b4169,P26365,AGM3PApp;AGM4PApp,,,,anhgm3p_p;h2o_p;anhgm4p_p,LalaDgluMdap_p;LalaDgluMdapDala_p;anhgm_p
110,b2435,P36548,AGM3PApp;AGM4PApp,,,,anhgm3p_p;h2o_p;anhgm4p_p,LalaDgluMdap_p;LalaDgluMdapDala_p;anhgm_p
111,b2817,P63883,AGM3PApp;AGM4PApp,4bin,2.60.40.3500.1.1.1.1.1.116;3.40.630.40.1.2.1.1.1.222,4binA01;4binA02,anhgm3p_p;h2o_p;anhgm4p_p,LalaDgluMdap_p;LalaDgluMdapDala_p;anhgm_p
112,b0867,P75820,AGM3PApp;AGM4PApp,3d2y,1.10.101.10.4.1.1.1.1.84;3.40.80.10.8.1.1.1.1.151,3d2yA02;3d2yA01,anhgm3p_p;h2o_p;anhgm4p_p,LalaDgluMdap_p;LalaDgluMdapDala_p;anhgm_p
113,b1107,P75949,AGM3PH;AGM4PH;AGMH,,,,anhgm4p_c;h2o_c;anhgm3p_c;anhgm_c,anhm_c;acgam_c;anhm3p_c;anhm4p_c
114,b3619,P67910,AGMHE,1eq2,3.40.50.720.102.1.1.1.1.202;3.40.50.720.102.1.1.2.1.202;3.40.50.720.102.1.1.3.1.202;3.40.50.720.102.1.1.4.1.202;3.40.50.720.102.1.1.5.1.202;3.40.50.720.102.1.1.6.1.202;3.40.50.720.102.1.1.7.1.202;3.40.50.720.102.1.1.8.1.202;3.40.50.720.102.1.1.9.1.202;3.40.50.720.102.1.1.10.1.202;3.90.25.10.19.1.1.1.1.101;3.90.25.10.19.1.1.1.2.101;3.90.25.10.19.1.1.1.3.101;3.90.25.10.19.1.1.1.4.101;3.90.25.10.19.1.1.1.5.94;3.90.25.10.19.1.1.1.6.94;3.90.25.10.19.1.1.1.7.94;3.90.25.10.19.1.1.1.8.91;3.90.25.10.19.1.1.1.39.70;3.90.25.10.19.1.1.1.40.66,1eq2A01;1eq2B01;1eq2C01;1eq2D01;1eq2E01;1eq2F01;1eq2G01;1eq2H01;1eq2I01;1eq2J01;1eq2D02;1eq2F02;1eq2G02;1eq2I02;1eq2B02;1eq2E02;1eq2J02;1eq2H02;1eq2A02;1eq2C02,adphep_DD_c,adphep_LD_c
115,b2937,P60651,AGMT,,,,h2o_c;agm_c,ptrc_c;urea_c
116,b3018,P26647,AGPAT120;AGPAT140;AGPAT141;AGPAT160;AGPAT161;AGPAT180;AGPAT181,,,,hdeACP_c;1odecg3p_c;1hdecg3p_c;1ddecg3p_c;1tdecg3p_c;tdeACP_c;octeACP_c;ddcaACP_c;palmACP_c;ocdcaACP_c;1hdec9eg3p_c;1tdec7eg3p_c;myrsACP_c;1odec11eg3p_c,pa140_c;pa161_c;pa120_c;ACP_c;pa141_c;pa181_c;pa180_c;pa160_c
117,b3958,P11446,AGPR,,,,nadph_c;acg5p_c;nadp_c;acg5sa_c;pi_c;h_c,nadph_c;acg5p_c;nadp_c;acg5sa_c;pi_c;h_c
118,b2913,P0A9T0,AHGDx;ARHGDx;PGCD,1yba,3.30.70.260.20.1.1.5.1.79;3.30.70.260.20.1.1.6.1.79;3.30.70.260.20.1.1.7.1.79;3.30.70.260.20.1.1.8.1.79;3.40.50.720.245.2.1.1.1.184;3.40.50.720.245.2.1.2.1.184;3.40.50.720.245.2.1.3.1.184;3.40.50.720.245.2.1.4.1.184;3.40.50.720.514.1.1.2.1.133;3.40.50.720.514.1.1.2.2.133;3.40.50.720.514.1.1.2.3.133;3.40.50.720.514.1.1.2.4.133,1ybaA03;1ybaB03;1ybaC03;1ybaD03;1ybaA02;1ybaB02;1ybaC02;1ybaD02;1ybaA01;1ybaB01;1ybaC01;1ybaD01,nad_c;akg_c;nadh_c;S2hglut_c;h_c;3pg_c;r2hglut_c,nad_c;akg_c;nadh_c;3php_c;S2hglut_c;h_c;r2hglut_c
119,b1511,P77432,AI2K,,,,atp_c;dhptd_c,dhptdp_c;h_c;adp_c
120,b4006,P15639,AICART;IMPC,,,,fprica_c;aicar_c;10fthf_c;thf_c;h2o_c;imp_c,fprica_c;aicar_c;10fthf_c;thf_c;h2o_c;imp_c
121,b0522,P09029,AIRC2,3eth,3.30.470.20.2.2.1.1.1.223;3.30.470.20.2.2.1.1.2.223;3.30.1490.20.10.1.1.1.1.62;3.30.1490.20.10.1.1.1.2.62;3.40.50.20.29.1.1.1.1.70;3.40.50.20.29.1.1.1.2.70,3ethA02;3ethB02;3ethA03;3ethB03;3ethA01;3ethB01,air_c;atp_c;hco3_c,5caiz_c;h_c;adp_c;pi_c
122,b0523,P0AG18,AIRC3,1qcz,3.40.50.7700.1.2.2.1.1.159,1qczA00,5caiz_c;5aizc_c,5caiz_c;5aizc_c
123,b0116;b0726;b0727,P0A9P0;P0AFG3;P0AFG6,AKGDH,,,,coa_c;nad_c;akg_c,succoa_c;co2_c;nadh_c
124,b1488,P77790,ALAALAD,,,,alaala_c;h2o_c,ala__D_c
125,b0381,P0A6J8,ALAALAr,,,,alaala_c;atp_c;pi_c;ala__D_c;h_c;adp_c,alaala_c;atp_c;pi_c;ala__D_c;h_c;adp_c
126,b0092,P07862,ALAALAr,4c5c,3.30.470.20.7.1.1.1.1.149;3.30.470.20.7.1.1.1.2.149;3.30.1490.20.3.1.1.1.1.73;3.30.1490.20.3.1.1.1.2.73;3.40.50.20.12.1.1.1.1.84;3.40.50.20.12.1.1.1.2.84,4c5cA02;4c5cB02;4c5cA03;4c5cB03;4c5cA01;4c5cB01,alaala_c;atp_c;pi_c;ala__D_c;h_c;adp_c,alaala_c;atp_c;pi_c;ala__D_c;h_c;adp_c
127,b1325,P51981,ALAGLUE,1jpd,3.20.20.120.54.2.1.1.1.207;3.30.390.10.56.2.1.1.1.99,1jpdX02;1jpdX01,LalaLglu_c;LalaDglu_c,LalaLglu_c;LalaDglu_c
128,b1190,P29012,ALAR,,,,ala__D_c;ala__L_c,ala__D_c;ala__L_c
129,b4053,P0A6B4,ALAR,4wr3,2.40.37.10.2.3.1.1.1.149;2.40.37.10.2.3.1.1.2.149;2.40.37.10.2.3.1.1.3.150;2.40.37.10.2.3.1.1.4.151;3.20.20.10.7.2.1.1.1.208;3.20.20.10.7.2.1.1.2.208;3.20.20.10.7.2.1.1.3.208;3.20.20.10.7.2.1.1.4.208,4wr3C01;4wr3D01;4wr3B01;4wr3A01;4wr3A02;4wr3B02;4wr3C02;4wr3D02,ala__D_c;ala__L_c,ala__D_c;ala__L_c
130,b2551,P0A825,ALATA_D2;ALATA_L2;GHMT2r;THFAT;THRA;THRA2,1dfo,3.40.640.10.1.1.11.1.1.241;3.40.640.10.1.1.11.1.2.241;3.40.640.10.1.1.11.1.3.241;3.40.640.10.1.1.11.1.4.241;3.90.1150.10.6.3.3.1.1.137;3.90.1150.10.6.3.3.1.2.137;3.90.1150.10.6.3.3.1.3.137;3.90.1150.10.6.3.3.1.4.137,1dfoA01;1dfoB01;1dfoC01;1dfoD01;1dfoA02;1dfoB02;1dfoC02;1dfoD02,pydx5p_c;ser__L_c;ala__L_c;athr__L_c;mlthf_c;ala__D_c;h2o_c;thf_c;methf_c;thr__L_c;gly_c,ser__L_c;5fthf_c;mlthf_c;h2o_c;thf_c;h_c;pyam5p_c;pyr_c;gly_c;acald_c
131,b2290,P0A959,ALATA_L,4cvq,3.40.640.10.90.1.1.1.1.242;3.40.640.10.90.1.1.1.2.242;3.90.1150.10.102.2.1.1.1.162;3.90.1150.10.102.2.1.1.2.162,4cvqA02;4cvqB02;4cvqA01;4cvqB01,glu__L_c;pyr_c;ala__L_c;akg_c,glu__L_c;pyr_c;ala__L_c;akg_c
132,b2379,P77434,ALATA_L,,,,glu__L_c;pyr_c;ala__L_c;akg_c,glu__L_c;pyr_c;ala__L_c;akg_c
133,b1478,P39451,ALCD19;ALCD2x,4gkv,3.40.50.720.389.3.1.1.1.138;3.40.50.720.389.3.1.1.2.138;3.40.50.720.389.3.1.1.3.138;3.40.50.720.389.3.1.1.4.138;3.90.180.10.10.2.2.1.1.198;3.90.180.10.10.2.2.1.2.198;3.90.180.10.10.2.2.1.3.198;3.90.180.10.10.2.2.1.4.198,4gkvA02;4gkvB02;4gkvC02;4gkvD02;4gkvA01;4gkvB01;4gkvC01;4gkvD01,nad_c;nadh_c;glyc_c;etoh_c;glyald_c;h_c;acald_c,nad_c;nadh_c;glyc_c;etoh_c;glyald_c;h_c;acald_c
134,b1385,P80668,ALDD19xr,,,,pac_c;pacald_c;nad_c;nadh_c;h2o_c;h_c,pac_c;pacald_c;nad_c;nadh_c;h2o_c;h_c
135,b3588,P37685,ALDD2y;ALDD3y,,,,h2o_c;ppal_c;nadp_c;acald_c,ac_c;nadph_c;ppa_c;h_c
136,b3003,P0AG84,ALDD2y,,,,h2o_c;nadp_c;acald_c,ac_c;nadph_c;h_c
137,b0493,P0AFP4,ALDD2y,,,,h2o_c;nadp_c;acald_c,ac_c;nadph_c;h_c
138,b4269,P27250,ALDD2y;ALDD3y,,,,h2o_c;ppal_c;nadp_c;acald_c,ac_c;nadph_c;ppa_c;h_c
139,b2690,P77475,ALKP;E4PP;F1PP;F6PP;GNP;PGMT;R5PP,,,,dhap_c;g1p_c;f6p_c;6pgc_c;h2o_c;f1p_c;e4p_c;g6p_c;r5p_c,fru_c;dha_c;erthrs_c;g1p_c;pi_c;glcn_c;rib__D_c;g6p_c
140,b4084,P32718,ALLK,3htv,3.30.420.40.37.1.1.1.1.162;3.30.420.40.98.1.1.1.1.108,3htvA02;3htvA01,atp_c;all__D_c,all6p_c;adp_c;h_c
141,b4090,P37351,ALLPI;RPI,2vvr,3.40.1400.10.1.3.1.2.1.147;3.40.1400.10.1.3.1.2.2.147;3.40.1400.10.1.3.1.2.3.147;3.40.1400.10.1.3.1.2.4.146;3.40.1400.10.1.3.1.2.5.146;3.40.1400.10.1.3.1.2.6.146,2vvrA00;2vvrC00;2vvrE00;2vvrB00;2vvrD00;2vvrF00,all6p_c;ru5p__D_c;allul6p_c;r5p_c,all6p_c;ru5p__D_c;allul6p_c;r5p_c
142,b0516,P77425,ALLTAMH2,4pxd,3.30.70.360.11.1.1.1.1.115;3.30.70.360.11.1.1.1.2.115;3.40.630.10.32.1.1.1.1.296;3.40.630.10.32.1.1.1.2.296,4pxdA02;4pxdB02;4pxdA01;4pxdB01,h2o_c;alltt_c;h_c,urdgci_c;co2_c;nh4_c
143,b0512,P77671,ALLTN,3.00e+74,,,h2o_c;alltn_c,alltt_c;h_c
144,b4085,P32719,ALLULPE,3ctl,3.20.20.70.194.1.1.1.1.219;3.20.20.70.194.1.1.1.2.219;3.20.20.70.194.1.1.1.3.219;3.20.20.70.194.1.1.1.4.219;3.20.20.70.194.1.1.1.5.219;3.20.20.70.194.1.1.1.6.219,3ctlA00;3ctlB00;3ctlC00;3ctlD00;3ctlE00;3ctlF00,allul6p_c;f6p_c,allul6p_c;f6p_c
145,b0657;b1677,P23930;P69776,ALPATE160pp;ALPATG160pp,,,,alpp_p;pg160_p;pe160_p,2agpe160_p;lpp_p;2agpg160_p
146,b3012,Q46857,ALR2;DKGLCNR1,1mzr,3.20.20.100.13.5.1.1.1.276;3.20.20.100.13.5.1.1.2.274,1mzrB00;1mzrA00,mthgxl_c;h_c;nadph_c;25dkglcn_c,2dhguln_c;nadp_c;acetol_c
147,b0207,P30863,ALR2;DKGLCNR1,,,,mthgxl_c;h_c;nadph_c;25dkglcn_c,2dhguln_c;nadp_c;acetol_c
148,b1781,P76234,ALR2,,,,mthgxl_c;h_c;nadph_c,nadp_c;acetol_c
149,b3001,Q46851,ALR2,3n6q,3.20.20.100.8.1.2.1.1.302;3.20.20.100.8.1.2.1.2.302;3.20.20.100.8.1.2.1.3.301;3.20.20.100.8.1.2.1.4.300;3.20.20.100.8.1.2.1.5.300;3.20.20.100.8.1.2.1.6.300;3.20.20.100.8.1.2.1.7.296;3.20.20.100.8.1.2.1.8.293,3n6qB01;3n6qD01;3n6qA01;3n6qC01;3n6qF01;3n6qG01;3n6qE01;3n6qH01,mthgxl_c;h_c;nadph_c,nadp_c;acetol_c
150,b1771,P77256,ALR2x,,,,mthgxl_c;h_c;nadh_c,nad_c;acetol_c
151,b3945,P0A9S5,ALR4x;APPLDHr;GLYCDx;LALDO2x,,,,appl_c;nad_c;aact_c;nadh_c;glyc_c;mthgxl_c;h_c;acetol_c,appl_c;nad_c;dha_c;aact_c;nadh_c;lald__D_c;12ppd__R_c;h_c
152,b3091,P42604,ALTRH,,,,altrn_c,2ddglcn_c;h2o_c
153,b3416,P15977,AMALT1;AMALT2;AMALT3;AMALT4,4s3q,,,malttr_c;malthx_c;malt_c;maltttr_c;maltpt_c,malthp_c;malthx_c;glc__D_c;maltttr_c;maltpt_c
154,b3223,P0A761,AMANAPEr,,,,acmanap_c;acgam6p_c,acmanap_c;acgam6p_c
155,b3222,P45425,AMANK,2aa4,3.30.420.40.55.1.1.1.1.152;3.30.420.40.55.1.1.1.2.152;3.30.420.40.71.1.1.1.1.137;3.30.420.40.71.1.1.1.2.137,2aa4A02;2aa4B02;2aa4A01;2aa4B01,acmana_c;atp_c,acmanap_c;adp_c;h_c
156,b0774,P12995,AMAOTr,1s0a,3.40.640.10.12.2.1.1.1.268;3.40.640.10.12.2.1.2.1.269;3.90.1150.10.62.1.1.1.1.158;3.90.1150.10.62.1.1.1.2.158,1s0aA02;1s0aB02;1s0aA01;1s0aB01,dann_c;amet_c;8aonn_c;amob_c,dann_c;amet_c;8aonn_c;amob_c
157,b3833,P0A887,AMMQLT8;OMBZLM,,,,2dmmql8_c;amet_c;2ombzl_c,mql8_c;h_c;ahcys_c;2ommbl_c
158,b3994,P30136,AMPMS2,,,,air_c;h2o_c;nad_c,for_c;h_c;4ampm_c;nadh_c
159,b1982,P0AE12,AMPN,1t8s,3.30.1730.10.1.1.1.1.1.140;3.30.1730.10.1.1.1.2.1.140;3.30.1730.10.1.1.1.3.1.140;3.30.1730.10.1.1.1.4.1.140;3.30.1730.10.1.1.1.5.1.140;3.30.1730.10.1.1.1.6.1.140;3.40.50.1580.21.1.2.1.1.299;3.40.50.1580.21.1.2.2.1.299;3.40.50.1580.21.1.2.3.1.299;3.40.50.1580.21.1.2.4.1.299;3.40.50.1580.21.1.2.5.1.299;3.40.50.1580.21.1.2.6.1.300,1t8sA01;1t8sB01;1t8sC01;1t8sD01;1t8sE01;1t8sF01;1t8sA02;1t8sC02;1t8sD02;1t8sE02;1t8sF02;1t8sB02,h2o_c;amp_c,ade_c;r5p_c
160,b0932,P04825,AMPTASECG;AMPTASEPG,3b34,1.10.390.10.3.1.1.1.1.164;1.10.1740.60.2.1.1.1.1.85;1.25.50.10.1.1.1.1.1.325;2.60.40.1730.2.1.1.1.1.180;2.60.40.1840.1.1.1.1.1.102,3b34A03;3b34A02;3b34A05;3b34A01;3b34A04,cgly_c;h2o_c;progly_c,pro__L_c;cys__L_c;gly_c
161,b4260,P68767,AMPTASECG;AMPTASEPG,1gyt,3.40.220.10.8.2.1.1.1.180;3.40.220.10.8.2.1.1.2.161;3.40.220.10.8.2.1.1.3.161;3.40.220.10.8.2.1.1.4.161;3.40.220.10.8.2.1.1.5.161;3.40.220.10.8.2.1.1.6.161;3.40.220.10.8.2.1.1.7.161;3.40.220.10.8.2.1.1.8.161;3.40.220.10.8.2.1.1.9.161;3.40.220.10.8.2.1.1.10.161;3.40.220.10.8.2.1.1.11.161;3.40.220.10.8.2.1.1.12.161;3.40.630.10.13.1.2.1.1.318;3.40.630.10.13.1.2.1.2.320;3.40.630.10.13.1.2.1.3.320;3.40.630.10.13.1.2.1.4.320;3.40.630.10.13.1.2.1.5.320;3.40.630.10.13.1.2.1.6.320;3.40.630.10.13.1.2.1.7.320;3.40.630.10.13.1.2.1.8.320;3.40.630.10.13.1.2.1.9.320;3.40.630.10.13.1.2.1.10.320;3.40.630.10.13.1.2.1.11.320;3.40.630.10.13.1.2.1.12.320,1gytL01;1gytA01;1gytB01;1gytC01;1gytD01;1gytE01;1gytF01;1gytG01;1gytH01;1gytI01;1gytJ01;1gytK01;1gytL02;1gytA02;1gytB02;1gytC02;1gytD02;1gytE02;1gytF02;1gytG02;1gytH02;1gytI02;1gytJ02;1gytK02,cgly_c;h2o_c;progly_c,pro__L_c;cys__L_c;gly_c
162,b2523,P37095,AMPTASECG;AMPTASEPG,,,,cgly_c;h2o_c;progly_c,pro__L_c;cys__L_c;gly_c
163,b0237,P15288,AMPTASECG;AMPTASEPG;LALGP,,,,cgly_c;h2o_c;progly_c;LalaLglu_c,glu__L_c;cys__L_c;ala__L_c;pro__L_c;gly_c
164,b1640,P77570,ANHMK,,,,anhm_c;h2o_c;atp_c,h_c;adp_c;acmum6p_c
165,b1263,P00904,ANPRT,,,,prpp_c;anth_c,ppi_c;pran_c
166,b1263;b1264,P00904;P00895,ANS,,,,gln__L_c;chor_c,glu__L_c;anth_c;h_c;pyr_c
167,b0776,P12998,AOXSr2,1bs0,3.40.640.10.58.1.1.1.1.228;3.90.1150.10.31.1.1.1.1.132,1bs0A02;1bs0A01,pimACP_c;ala__L_c,co2_c;8aonn_c;ACP_c
168,b0049,P05637,AP4AH;AP5AH;GP4GH,2dfj,3.60.21.10.36.1.1.1.1.267;3.60.21.10.36.1.1.1.2.267,2dfjA00;2dfjB00,h2o_c;ap5a_c;gp4g_c;ap4a_c,atp_c;h_c;adp_c;gdp_c
169,b4129,P0A8N5,AP4AS,1e1o,2.40.50.140.138.1.1.1.1.140;3.30.930.10.31.3.1.1.1.339,1e1oA01;1e1oA02,atp_c;h_c,ppi_c;ap4a_c
170,b0121,P09158,APCS;SPMS,3o4f,2.30.140.10.10.1.1.1.1.51;2.30.140.10.10.1.1.1.2.51;2.30.140.10.10.1.1.1.3.50;2.30.140.10.10.1.1.1.4.50;2.30.140.10.10.1.1.1.5.48;2.30.140.10.10.1.1.1.6.46;2.30.140.10.10.1.1.1.7.46;2.30.140.10.10.1.1.1.8.46;3.40.50.150.186.2.1.1.1.218;3.40.50.150.186.2.1.1.2.220;3.40.50.150.186.2.1.1.3.223;3.40.50.150.186.2.1.1.4.225;3.40.50.150.186.2.1.1.5.233;3.40.50.150.186.2.1.1.6.233;3.40.50.150.186.2.1.1.7.233;3.40.50.150.186.2.1.1.8.234,3o4fC01;3o4fD01;3o4fB01;3o4fE01;3o4fA01;3o4fF01;3o4fG01;3o4fH01;3o4fH02;3o4fB02;3o4fF02;3o4fD02;3o4fC02;3o4fE02;3o4fG02;3o4fA02,ptrc_c;15dap_c;ametam_c,5mta_c;na15dap_c;spmd_c;h_c
171,b3059,P60782,APG3PAT120;APG3PAT140;APG3PAT141;APG3PAT160;APG3PAT161;APG3PAT180;APG3PAT181,,,,glyc3p_c;ddcap_c;ttdceap_c;ocdceap_c;ttdcap_c;hdceap_c;hdcap_c;ocdcap_c,1odecg3p_c;1hdecg3p_c;1ddecg3p_c;1tdecg3p_c;pi_c;h_c;1hdec9eg3p_c;1tdec7eg3p_c;1odec11eg3p_c
172,b0968,P0AB65,APH120;APH140;APH141;APH160;APH161;APH180;APH181,2gv1,3.30.70.100.11.3.1.1.1.92,2gv1A00,ddcap_c;ttdceap_c;h2o_c;ocdceap_c;ttdcap_c;hdceap_c;hdcap_c;ocdcap_c,ttdcea_c;ocdca_c;hdca_c;ocdcea_c;pi_c;hdcea_c;h_c;ttdca_c;ddca_c
173,b0414,P25539,APRAUR;DHPPDA2,2obc,3.40.140.10.8.4.1.4.1.127;3.40.140.10.8.4.1.5.1.125;3.40.430.10.21.2.1.3.1.218;3.40.430.10.21.2.1.6.1.228,2obcA01;2obcB01;2obcA02;2obcB02,nadph_c;25drapp_c;5apru_c;h2o_c;h_c,5aprbu_c;nh4_c;nadp_c;5apru_c
174,b2802,P69922,ARABDI;FCI,1fui,3.20.14.10.1.1.3.1.1.251;3.20.14.10.1.1.3.1.2.251;3.20.14.10.1.1.3.1.3.251;3.20.14.10.1.1.3.1.4.251;3.20.14.10.1.1.3.1.5.251;3.20.14.10.1.1.3.1.6.251;3.40.50.1070.1.1.3.1.1.175;3.40.50.1070.1.1.3.1.2.175;3.40.50.1070.1.1.3.1.3.175;3.40.50.1070.1.1.3.1.4.175;3.40.50.1070.1.1.3.1.5.175;3.40.50.1070.1.1.3.1.6.175;3.40.275.10.1.2.1.1.1.165;3.40.275.10.1.2.1.1.2.165;3.40.275.10.1.2.1.1.3.165;3.40.275.10.1.2.1.1.4.165;3.40.275.10.1.2.1.1.5.165;3.40.275.10.1.2.1.1.6.165,1fuiA03;1fuiB03;1fuiC03;1fuiD03;1fuiE03;1fuiF03;1fuiA01;1fuiB01;1fuiC01;1fuiD01;1fuiE01;1fuiF01;1fuiA02;1fuiB02;1fuiC02;1fuiD02;1fuiE02;1fuiF02,fcl__L_c;rbl__D_c;arab__D_c;fuc__L_c,fcl__L_c;rbl__D_c;arab__D_c;fuc__L_c
175,b0062,P08202,ARAI,4f2d,3.40.50.10940.1.2.1.1.1.168;3.40.50.10940.1.2.1.2.1.168;3.40.50.10940.1.2.1.3.1.168,4f2dA01;4f2dB01;4f2dC01,arab__L_c;rbl__L_c,arab__L_c;rbl__L_c
